,Unnamed: 0,tweet,hashtags,label
100,100,pandemonium prevail agri grievance redressal meet thanjavur friday farmer stag walk,"['Thanjavur', 'farmers']",0
101,101,farmersprotest fight right amp justice ops msp ban evm want ops save itcadre save ir ban evm save india restor,"['Farmersprotest', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR', 'BanEVM_Save_India']",1
102,102,still stand farmer support peaceful protest no amount hate threat violation human right w,['StandWithFarmers'],0
103,103,time come new zealand dunedin christchurch nelson politicsnz invercargill blenheim westcoast,"['NewZealand', 'Dunedin', 'Christchurch', 'Nelson', 'politicsnz', 'Invercargill', 'Blenheim', 'Westcoast']",0
104,104,weather update farmer protest heavy storm report singhu border shahjahanpur border rain,"['FarmersProtest', 'SinghuBorder']",0
105,105,sit shri akal ji good morning everyone zira sanjha morcha change climate farmer protest,"['ZiraSanjhaMorcha', 'ChangeClimate', 'FarmersProtest']",0
106,106,farm leader rajhastan haryana arrive zira sanjha morcha dont let go u,"['Rajhastan', 'Haryana', 'ZiraSanjhaMorcha']",0
107,107,farmer variety protest save land jordar news hmtv jordarnews hmtv farme,"['jordarnews', 'hmtv']",0
108,108,next tool kit could find way fail india g preperation farmer protest covid emergency create,"['FarmersProtest', 'CovidEmergency']",1
109,109,support farmer protest kisanandolan,"['FarmersProtest', 'kisanandolan']",0
110,110,khalistani terroists attack student bihar sword college fatehgarh sahib govt administratio,['KhalistaniTerroists'],0
111,111,im not go listen broadcast medium khalistanis sikh think every sikh never accept,"['Khalistanis', 'Sikhs', 'Sikh']",0
112,112,forget avatar drishyam khalistan hit among liberal cast who rope slow,['Khalistan'],1
113,113,american must oppose khalistan khalistan establish religion base nation americ,"['Khalistan', 'Khalistan']",0
114,114,oh yes im pro khalistani who talk save panjab there one,['khalistani'],1
115,115,sure also fund bjp otherwise why would fuel narr,['BJP'],1
116,116,punjab farmer accept farmlaws beneficiary farmer khalistan protestors create unlawful blockage didn,"['farmlaws', 'Khalistan']",0
117,117,khalistan selfdestructive plan pannun soon die dream khalistan,"['Khalistan', 'Pannun', 'Khalistan']",0
118,118,khalistan dream concept pakistan not punjab,"['Khalistan', 'Pakistan', 'Punjab']",0
119,119,slogan favour khalistan find write wall ssp office punjab sri muktsar sahib sikh,"['Khalistan', 'Punjab']",1
120,120,pro khalistan group sfj issue warn congress leader rahul gandhi ahead bharat jodo yatra,"['Khalistan', 'RahulGandhi', 'BharatJodoYatra']",1
121,121,rd no ball row form khalistan sikh love galwan valley china dv sl,"['Khalistan', 'GalwanValley', 'INDvSL']",1
122,122,rd no ball row form khalistan sikh love galwan valley china dv sl cricket twitter pak v nz pakistan,"['Khalistan', 'GalwanValley', 'INDvSL', 'CricketTwitter', 'PakVsNz', 'Pakistan']",1
123,123,endian puppet land hell pakistan khalistan india ikmkbforever pathan,"['Pakistan', 'Khalistan', 'india', 'ikmkbforever', 'pathan']",1
124,124,canada turn blind eye towards growl khalistan activity across country issue advisory visit,['khalistan'],0
125,125,pannun idea khalistan dead like brain cell,"['Pannun', 'Khalistan']",0
126,126,pannu reaction minor attack sikh india india fascist gencidal state ne,['Sikh'],1
127,127,dynast creator khalistan bhinderwale,"['Khalistan', 'bhinderwale']",0
128,128,shame amrit pal singh shame sfj sikh khalistan hold no place think khalistanis everything,"['ShameOnAmritPalSingh', 'ShameOnSFJ', 'Sikh', 'Khalistan', 'Khalistanis']",0
129,129,fake sikh khalistanis immediately take advantage haldwani issue set charitable langar pe,"['FakeSikhs', 'khalistanis']",0
130,130,khalistan horror dream sikh,"['Khalistan', 'Sikhs']",0
131,131,last battle khalistan referendum vote sikh ready khalistan referendum january fedration square melbo,"['Khalistan', 'fedrationSquare']",1
132,132,not alone say mp majority entire constituency like khalistani khalistan,"['khalistani', 'khalistan']",1
133,133,haldwani encroachment jain community protest ankitabhandari delhiaccident khalistan rajouri jammu kashmir,"['HaldwaniEncroachment', 'JainCommunityProtest', 'ankitabhandari', 'Delhiaccident', 'Khalistan', 'Rajouri', 'JammuAndKashmir']",0
134,134,poster socalled khalistan referendum indira gandhi image crop australia australia khalistan indragandh,"['Australia', 'Khalistan']",1
135,135,haldwani encroachment jain community protest ankitabhandari delhiaccident khalistan rajouri,"['HaldwaniEncroachment', 'JainCommunityProtest', 'ankitabhandari', 'Delhiaccident', 'Khalistan', 'Rajouri']",0
136,136,khalistan kashmiri life matter shame modi shame india lannt tum pay,"['Khalistan', 'KashmiriLivesMatter']",1
137,137,amritpal singh not threat country what punjab amritpal singh khalistan,"['Punjab', 'AmritpalSingh', 'Khalistan']",0
138,138,pls go pakistan make khalistan indian sikh not interest sikh never want khalistan http,"['Pakistan', 'Khalistan', 'IndianSikh', 'SikhNeverWantKhalistan']",0
139,139,wont able stop khalistanreferendum establishment khalistan vandalize banner indian state,"['khalistanreferendum', 'khalistan']",1
140,140,humble request cm panjab ji please kick hardcore criminal,"['panjab', 'up']",0
141,141,pannun think like sonpari who would establish impossible amp unseen dream khalistan amp amritpal singh,"['Khalistan', 'AmritpalSingh']",0
142,142,khalistan revive isi yugpurush pegwant look like free home stretch,"['Khalistan', 'ISI']",1
143,143,funny kid demand khalistan no khalistan fake sikh aps killer destructor,"['Khalistan', 'NoToKhalistan', 'FakeSikh', 'APSIsKiller', 'Destructor']",0
144,144,real sikh always stand khalistan,"['RealSikhs', 'Khalistan']",0
145,145,ji tell anti hindu amp anti sangh cell isi amp khalistan hyper active australia,"['Hindu', 'Khalistan', 'Australia']",1
146,146,sikh arentt save india khalistan,"['Sikhs', 'Khalistan']",1
147,147,occasion new year take piece advice khalistanis stop dream khalistan,"['Khalistanis', 'Khalistan']",0
148,148,amritpal singh get real identity khalsa vaheer khalsa khalistan deep sidhu khalsa raaj,"['AmritpalSingh', 'KhalsaVaheer', 'Khalsa', 'Khalistan', 'DeepSidhu', 'KhalsaRaaj']",1
149,149,sfj medium achieve khalistan dont trust dragon amritpal singh khalsa vaheer fake aps,"['SFJ', 'Khalistan', 'AmritpalSingh', 'KhalsaVaheer', 'FakeAPS']",1
150,150,pakistan saw bleak future khalistan process push drug punjab pak supply drug,"['Pakistan', 'Khalistan', 'PakSupplyDrugs']",1
151,151,sevak confession web series must watch every sikh muslim india webseries sevakwebseries sevakth,"['Webseries', 'sevakwebseries']",0
152,152,sfj leader pannu call referendum khalistan separation mainland january pannu ur,"['SFJ', 'Pannu', 'referendum', 'Khalistan', 'Pannu']",1
153,153,harmeet singh alias ph scuffle one pakistan punjab police official name gulab singh narco trade prov,['Pakistan'],1
154,154,satinderjit singh brar ie goldy brar fugitive gangster lawrence gang want murder punjabi sing,"['GoldyBrar', 'Gangster', 'Punjabi']",1
155,155,indian occupy khalistan free khalistan never forget,"['Khalistan', 'FreeKhalistan', 'NeverForget84']",1
156,156,indian occupy khalistan not part india long ikmkb forever,"['Khalistan', 'IKMKBForever']",1
157,157,khalistan horror dream sikh real sikh always oppose khalistan,"['Khalistan', 'Sikhs', 'Sikhs', 'Khalistan']",0
158,158,khalistan separatism isolate lot sikh punjab movement deadly way one udata punjab,"['Khalistan', 'UdataPunjab']",1
159,159,wonderful pakistan support khalistan movement th,"['Pakistan', 'Khalistan']",1
160,160,oops truth reveal notokhalistan fake aps fake wpd fake sfj fakepannun fake amrit pal singh deep sidhu,"['notokhalistan', 'FakeAPS', 'FakeWPD', 'FakeSFJ', 'fakepannun', 'FakeAmritPalSingh', 'DeepSidhu']",0
161,161,call pro khalistan sikh justice attack indian parliament doesnt amount instigate,"['Khalistan', 'Indian']",1
162,162,khalistan look like pls pannun pay visit,"['Khalistan', 'Pannun']",0
163,163,pannun not try approach doorstep sikh not interest bloody game khalistan,"['Pannun', 'Sikhs', 'Khalistan']",0
164,164,khalistan myth pannun full time puppet pakistan,"['Khalistan', 'Pannun', 'Pakistan']",0
165,165,sikhforjustice khalistan punjab referendum khalistan vote back canada,"['SIKHFORJUSTICE', 'KHALISTAN']",1
166,166,amritpal singh become monster punjab govt mint money youth kill analyst ramnik singh ma,"['AmritpalSingh', 'Punjab']",1
167,167,khalistan zindabad tshirts sell complete gameplan gain attention grind bj p rp singh,['KhalistanZindabad'],1
168,168,pakistanigangs forcefully drag sikh girl prostitution uk u canada hand khalistanis,"['Prostitution', 'Khalistanis']",0
169,169,typical hira mandi wale family national dialect upcoming khalistan kaneda,"['HiraMandiWale', 'Khalistan']",0
170,170,amritpal singh cant stand front pannun know how give justice sikh dont khals,"['AmritpalSingh', 'pannun', 'Sikhs']",0
171,171,khalistan india bharat hindustan stupid idiot get brainwash pay pakistan,"['Khalistan', 'India', 'Bharat', 'Hindustan']",0
172,172,kp also remember pinch pat smt bajaj backside lucky no posco act brahmach,['KPS'],0
173,173,haryana khalistan india,"['Haryana', 'Khalistan', 'India']",0
174,174,punjab punjab assembly khalistan aap punjab india,"['Punjab', 'PunjabAssembly', 'Khalistan', 'AAPPunjab', 'India']",0
175,175,youll no success destroy khalistan terror infra unless burn wasp nest au proudl,"['Khalistan', 'Aus']",0
176,176,canada divide new khalistan country emerge canada khalistanis government canad,"['Canada', 'Khalistan']",1
177,177,sikh manage anything life not khalistan,"['Sikh', 'Khalistan']",0
178,178,punjab government lack willpower tackle amritpal singh play law journalist hemant atri,"['Punjab', 'AmritpalSingh']",1
179,179,liberal punjabi who vote aap plz ask why much drone attack punjab punjab khalistan liberan,"['Punjab', 'khalistan']",1
0,0,pil file twitter promote khalistan good initiative sikh community try sa,"['PIL', 'Twitter', 'Khalistan', 'SikhCommunity']",1
1,1,pakistan around partition weve never see efore photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",0
2,2,pannun no shame leave,"['Pannun', 'Khalistan']",1
3,3,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],0
4,4,no khalistan khai garage dear sikh quick realise pannun,"['Khalistan', 'Khai']",0
5,5,pannun not listen real sikh imaginary world doesnt care aout sikh community,"['Pannun', 'RealSikhs', 'SikhCommunity']",0
6,6,sikh justice een mislead sikh community name khalistan support pakistan,['Khalistan'],0
7,7,gherao sept truck rally day modi solution farmersill sfj khalistan register,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan', 'Register']",1
8,8,pig india no no not regular pig who demand loha sharia ut pig who demand,['India'],1
9,9,gherao sept truck rally day modi solution farmersill sfj khalistan,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
10,10,mp arrs journalist view tweet mean mp scar eing hold accountale,[],0
11,11,what would call video watch tight slap dose humiliation sfj khalistani separ,"['SFJ', 'KhalistaniSepar']",0
12,12,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],0
13,13,namaste invite watch late video terry milewski report expose pakistan role khalistan move,"['Terry', 'Pakistan', 'Khalistan']",0
14,14,farmer register vote octoer maximum register vote get grant money sfj,[],1
15,15,like fail agenda pannun door door campaign go e super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",0
16,16,no way leave modi except may free kashmir vacant space way,['Modi'],1
17,17,mr pannun what real indian sikh want sikh inseparale part india proud e,"['Sikh', 'India']",0
18,18,canadian thinktank recently pulished report which argue khalistan separatist movement project,['Khalistan'],1
19,19,exclusive break news khalistani supporter video show khalistan not suject,"['Breaking', 'KhalistaniSupporters', 'Khalistan']",1
20,20,solution farmersill khalistan sfj modi register vote,"['farmersbill2020', 'khalistan', 'sfj', 'modi', 'Register2Vote2020']",1
21,21,cm gherao modi truck rally th sept solution farmersill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
22,22,please stop rally cm gherao modi truck rally th sept solution,"['Modi', 'TruckRally']",1
23,23,punja deep sht cm talk amp ehaving like goongetting chakka jam rail roko do,['Punjab'],0
24,24,solution farmersill sfj khalistan th septemer get ready,"['Farmersbill2020', 'SFJ', 'Khalistan']",1
25,25,cm gherao modi truck rally th sept solution farmersill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
26,26,oops what happen video go reak every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",0
27,27,cm solution farmersill sfj khalistan register vote khalistan,"['Farmersbill2020', 'SFJ', 'Khalistan']",1
28,28,punja farmer sikh punja show power modi protest policy ge,"['PunjabFarmers', 'Modi']",1
29,29,get ready gherao modi truck rally th sept solution farmersill suffer farmer,"['GheraoModi', 'TruckRally', 'Farmersbill2020']",1
30,30,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",0
31,31,cm gherao modi truck rally th sept solution farmersill sfj khalistan farmer w,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
32,32,account een withhold india response legal demand learn,[],0
33,33,start trend pakistan rememering dr najee khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",0
34,34,shame khalistani supporter whoever do no right stay punja request leave ou,['ShameOnKhalistaniSupporters'],0
35,35,pannun amp minion dont try hard ecause wont get neither vote nor socalled khalistan,['Khalistan'],0
36,36,cm gherao modi truck rally th sept truck driver urge understand fe,"['Modi', 'TruckRally']",1
